gene	monte_carlo_iterations	top10_probability	top20_probability	top30_probability	median_rank	rank_p2_5	rank_p97_5
STAT4	5000	0.0	0.0	0.0	196.0	92.0	317.0
F13A1	5000	0.0	0.0	0.0	196.0	89.0	253.0
UCHL1	5000	0.0	0.0	0.0	198.0	107.0	373.0
FCGR2B	5000	0.0	0.0	0.0	200.0	101.0	315.0
EDNRA	5000	0.0	0.0	0.0	205.0	60.0	343.02499999999964
IL32	5000	0.0	0.0	0.0	205.0	81.0	326.0
TRBC2	5000	0.0	0.0	0.0	205.0	129.0	253.0
SLCO2B1	5000	0.0	0.0	0.0	205.5	68.0	328.0
MFNG	5000	0.0	0.0	0.0	206.0	79.0	378.0
CD3E	5000	0.0	0.0	0.0	207.0	100.0	324.0
FKBP1A	5000	0.0	0.0	0.0	207.0	54.0	344.0
SNCA	5000	0.0	0.0	0.0	207.5	103.0	314.0
RBMS3	5000	0.0	0.0	0.0	210.0	76.0	272.0
RUNX3	5000	0.0	0.0	0.0	213.0	107.0	325.0
CRIP2	5000	0.0	0.0	0.0	213.0	131.97500000000002	338.0
CDH13	5000	0.0	0.0	0.0	214.0	62.0	354.0
ID3	5000	0.0	0.0	0.0	214.0	138.0	307.0
CD37	5000	0.0	0.0	0.0	214.0	126.0	331.0
C3	5000	0.0	0.0	0.0	215.0	106.0	337.0
NCF2	5000	0.0	0.0	0.0	215.0	143.0	317.0
EFEMP1	5000	0.0	0.0	0.0	219.0	201.0	231.0
CD52	5000	0.0	0.0	0.0	220.0	89.0	333.0
PLOD2	5000	0.0	0.0	0.0	221.0	138.0	346.0
MPEG1	5000	0.0	0.0	0.0	222.0	81.0	364.0
RNF149	5000	0.0	0.0	0.0	223.0	120.0	285.0
SLC25A37	5000	0.0	0.0	0.0	225.0	165.0	291.0
PRELP	5000	0.0	0.0	0.0	226.0	75.0	370.0
IGSF6	5000	0.0	0.0	0.0	227.0	65.0	359.02499999999964
HIP1	5000	0.0	0.0	0.0	228.0	176.0	287.0
PIM1	5000	0.0	0.0	0.0	232.0	131.0	332.0
SYNE2	5000	0.0	0.0	0.0	232.0	78.0	397.0
ARL15	5000	0.0	0.0	0.0	233.0	124.0	335.0
CD96	5000	0.0	0.0	0.0	236.0	107.0	344.0
MRC1	5000	0.0	0.0	0.0	237.0	136.0	334.0
PARD3	5000	0.0	0.0	0.0	237.0	75.0	319.0
PEAK1	5000	0.0	0.0	0.0	239.0	112.0	344.0
RAPGEF1	5000	0.0	0.0	0.0	241.0	117.0	359.0
ANK1	5000	0.0	0.0	0.0	242.0	130.0	382.0
FCGR1A	5000	0.0	0.0	0.0	243.0	90.0	387.0
HMOX1	5000	0.0	0.0	0.0	244.0	61.0	372.0
IL33	5000	0.0	0.0	0.0	244.5	66.0	393.0
RGCC	5000	0.0	0.0	0.0	245.0	98.0	348.0
KCTD12	5000	0.0	0.0	0.0	246.0	74.0	361.0
FYN	5000	0.0	0.0	0.0	246.0	151.0	316.0
DAB2	5000	0.0	0.0	0.0	251.0	75.0	370.0
GAB2	5000	0.0	0.0	0.0	251.5	211.0	286.0
ERG	5000	0.0	0.0	0.0	252.0	140.0	344.0
MKRN1	5000	0.0	0.0	0.0	252.0	105.0	382.0
CD14	5000	0.0	0.0	0.0	253.0	64.0	384.02499999999964
ASAH1	5000	0.0	0.0	0.0	254.0	119.0	372.0
TPM1	5000	0.0	0.0	0.0	254.0	88.0	384.0
CD59	5000	0.0	0.0	0.0	254.5	105.0	378.0
ABCG2	5000	0.0	0.0	0.0	255.0	65.97500000000001	356.0
PMEPA1	5000	0.0	0.0	0.0	255.0	84.0	359.0
MAP3K8	5000	0.0	0.0	0.0	255.0	148.0	370.0
PDLIM3	5000	0.0	0.0	0.0	256.0	139.0	347.0
NTM	5000	0.0	0.0	0.0	256.0	72.0	397.0
DMTN	5000	0.0	0.0	0.0	258.0	154.0	401.02499999999964
FAM13C	5000	0.0	0.0	0.0	261.0	175.0	400.0
GPX3	5000	0.0	0.0	0.0	263.5	91.0	374.0
GNG11	5000	0.0	0.0	0.0	264.0	212.0	327.0
ITM2A	5000	0.0	0.0	0.0	265.0	119.0	361.0
PDE3A	5000	0.0	0.0	0.0	265.0	182.0	342.0
RNASET2	5000	0.0	0.0	0.0	266.0	103.0	365.0
CA2	5000	0.0	0.0	0.0	267.0	120.0	371.0
CCDC88A	5000	0.0	0.0	0.0	268.0	105.0	392.0
TBX2	5000	0.0	0.0	0.0	269.0	81.0	392.0
SAT1	5000	0.0	0.0	0.0	271.0	115.0	359.0
RGS2	5000	0.0	0.0	0.0	271.0	106.0	392.0
SIPA1L1	5000	0.0	0.0	0.0	272.5	82.0	366.0
SDCBP	5000	0.0	0.0	0.0	273.0	165.0	376.0
CCL5	5000	0.0	0.0	0.0	274.0	98.0	371.0
HMBS	5000	0.0	0.0	0.0	276.0	64.97500000000001	410.0
PRDX4	5000	0.0	0.0	0.0	279.0	84.0	385.0
CST3	5000	0.0	0.0	0.0	280.5	158.0	384.0
MYL9	5000	0.0	0.0	0.0	282.0	107.0	360.0
LHFPL6	5000	0.0	0.0	0.0	282.0	79.0	396.0
CREG1	5000	0.0	0.0	0.0	282.0	170.0	350.0
MTATP6P1	5000	0.0	0.0	0.0	282.0	92.0	416.0
ITM2B	5000	0.0	0.0	0.0	283.0	143.0	386.0
CD69	5000	0.0	0.0	0.0	284.0	201.0	355.0
CLU	5000	0.0	0.0	0.0	285.0	132.0	370.0
LCK	5000	0.0	0.0	0.0	285.0	149.0	352.0
NR2F2-AS1	5000	0.0	0.0	0.0	285.0	153.97500000000002	360.0
CLEC2D	5000	0.0	0.0	0.0	286.0	214.0	348.0
EGFL7	5000	0.0	0.0	0.0	287.0	86.0	391.0
PHLDA1	5000	0.0	0.0	0.0	287.0	172.0	375.0
TINAGL1	5000	0.0	0.0	0.0	288.0	120.97500000000001	369.0
MT2A	5000	0.0	0.0	0.0	288.0	90.0	390.0
KLKB1	5000	0.0	0.0	0.0	288.5	92.0	408.0
VTN	5000	0.0	0.0	0.0	290.0	107.0	408.0
MIR4435-2HG	5000	0.0	0.0	0.0	291.0	130.0	371.0
SELENOP	5000	0.0	0.0	0.0	293.0	151.0	372.0
CA1	5000	0.0	0.0	0.0	294.0	134.0	376.0
CYGB	5000	0.0	0.0	0.0	297.0	181.97500000000002	356.0
LDLR	5000	0.0	0.0	0.0	297.0	106.0	413.0
MAGI1	5000	0.0	0.0	0.0	298.0	95.0	392.0
IGKC	5000	0.0	0.0	0.0	299.0	115.97500000000001	396.0
SLC25A39	5000	0.0	0.0	0.0	299.0	183.0	357.0
DSTN	5000	0.0	0.0	0.0	299.0	160.0	373.0
SOX5	5000	0.0	0.0	0.0	300.0	109.0	392.0
FKBP8	5000	0.0	0.0	0.0	302.0	188.0	382.0
S100A1	5000	0.0	0.0	0.0	303.0	128.0	412.02499999999964
COL9A1	5000	0.0	0.0	0.0	305.0	122.0	410.0
ENO1	5000	0.0	0.0	0.0	306.0	231.97500000000002	374.0
DUSP1	5000	0.0	0.0	0.0	307.0	95.0	397.0
