gene	universe_source	reconstruction_status
EPS8	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ERG	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
ESAM	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
F13A1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
F13B	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FAM13C	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FAM49A	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FBXO7	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FCER1G	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FCGR1A	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FCGR2A	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FCGR2B	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FCGR3A	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FCGRT	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FCN1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FGA	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FGB	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FGF23	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FGG	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FGL2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FHL1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FKBP1A	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FKBP5	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FKBP8	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FLT1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FN1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FOLR2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FOS	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FRMD4A	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FRZB	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FTH1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FTL	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
FYN	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
GAB2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
